Train No,Name,Type,Zone,Date From,Date To,From,Dep,To,Arr,Duration,Halts,SU,M,TU,W,TH,F,SA,Class,Distance,Speed,Return
13352,Alappuzha-Dhanbad (B...,Exp,ECR,,,ALLP,06:00,DHN,13:15,55h 15m,93,S,M,T,W,T,F,S,SL 3A 2A,2537 km,45 km/hr,13351
13401,Bhagalpur Danapur In...,Exp,ER,,,BGP,05:35,DNR,12:40,7h 5m,25,,M,T,W,T,F,S,CC,232 km,32 km/hr,13402
13402,Danapur - Bhagalpur ...,Exp,ER,,,DNR,16:15,BGP,22:25,6h 10m,25,,M,T,W,T,F,S,CC,232 km,37 km/hr,13401
13403,Vananchal Express,Exp,ER,,,RNC,14:45,BGP,05:15,14h 30m,25,S,M,T,W,T,F,S,SL 3A 2A,558 km,38 km/hr,13404
13404,Vananchal Express,Exp,ER,,,BGP,15:40,RNC,05:15,13h 35m,24,S,M,T,W,T,F,S,SL 3A 2A,558 km,41 km/hr,13403
13409,Malda Town - Jamalpu...,Exp,ER,,,MLDT,05:40,JMP,11:10,5h 30m,14,S,M,T,W,T,F,S,,235 km,42 km/hr,13410
13410,Jamalpur - Malda Tow...,Exp,ER,,,JMP,15:15,MLDT,21:00,5h 45m,14,S,M,T,W,T,F,S,,235 km,40 km/hr,13409
13413,Farakka Express (via...,Exp,ER,,,MLDT,19:10,DLI,04:40,33h 30m,61,,M,,,T,,S,SL 3A 2A,1423 km,42 km/hr,13414
13414,Farakka Express (via...,Exp,ER,,,DLI,21:40,MLDT,07:10,33h 30m,59,,M,,W,,,S,SL 3A 2A,1423 km,42 km/hr,13413
13415,Malda Town Patna Exp...,Exp,ER,,,MLDT,20:30,PNBE,05:30,9h 0m,16,S,,,W,,F,,SL 3A 2A,404 km,44 km/hr,13416
13416,Patna Malda Town Exp...,Exp,ER,,,PNBE,21:45,MLDT,08:20,10h 35m,16,,M,,,T,,S,SL 3A 2A,404 km,38 km/hr,13415
13417,Digha - Malda Expres...,Exp,ER,,,DGHA,23:55,MLDT,14:25,14h 30m,14,,,,,T,,,SL 3A,657 km,45 km/hr,13418
13418,Malda - Digha Expres...,Exp,ER,,,MLDT,07:50,DGHA,22:40,14h 50m,14,,,,,T,,,2S SL 3A,657 km,44 km/hr,13417
13419,Jan Sewa Express,Exp,ER,,,BGP,14:05,MFP,20:40,6h 35m,15,S,M,T,W,T,F,S,SL,241 km,36 km/hr,13420
13420,Jan Sewa Express,Exp,ER,,,MFP,23:05,BGP,05:55,6h 50m,15,S,M,T,W,T,F,S,SL,241 km,35 km/hr,13419
13421,Nabadwip Dham - Mald...,Exp,ER,,,NDAE,04:40,MLDT,09:30,4h 50m,9,S,M,T,W,T,F,S,,227 km,46 km/hr,13422
13422,Malda Town - Nabadwi...,Exp,ER,,,MLDT,15:50,NDAE,20:55,5h 5m,9,S,M,T,W,T,F,S,,227 km,44 km/hr,13421
13423,Bhagalpur-Ajmer Exp...,Exp,ER,,,BGP,13:05,AII,23:55,34h 50m,14,,,,,T,,,SL 3A 2A,1749 km,50 km/hr,13424
13424,Ajmer-Bhagalpur Week...,Exp,ER,,,AII,05:55,BGP,17:30,35h 35m,13,,,,,,,S,SL 3A 2A,1749 km,49 km/hr,13423
13425,Malda - Surat Expres...,Exp,ER,,,MLDT,12:30,ST,04:50,40h 20m,25,,,,,,,S,SL 3A 2A,2127 km,52 km/hr,13426
13426,Surat - Malda Expres...,Exp,ER,,,ST,12:50,MLDT,06:15,41h 25m,25,,M,,,,,,SL 3A 2A,2127 km,51 km/hr,13425
13429,Malda Town - Anand V...,Exp,ER,,,MLDT,09:05,ANVT,14:35,29h 30m,21,,,,,,F,,SL 3A 2A,1413 km,47 km/hr,13430
13430,Anand Vihar Terminal...,Exp,ER,,,ANVT,17:10,MLDT,23:50,30h 40m,21,,,,,,,S,SL 3A 2A,1413 km,46 km/hr,13429
13465,Howrah-Malda Town In...,Exp,ER,,,HWH,15:15,MLDT,22:20,7h 5m,13,S,M,T,W,T,F,S,2S CC,332 km,46 km/hr,13466
13466,Malda Town-Howrah In...,Exp,ER,,,MLDT,06:10,HWH,12:50,6h 40m,13,S,M,T,W,T,F,S,2S CC,332 km,49 km/hr,13465
13483,Farakka Express (via...,Exp,ER,,,MLDT,19:10,DLI,04:40,33h 30m,63,S,,T,W,,F,,SL 3A 2A,1464 km,43 km/hr,13484
13484,Farakka Express (via...,Exp,ER,,,DLI,21:40,MLDT,07:10,33h 30m,61,S,,T,,T,F,,SL 3A 2A,1464 km,43 km/hr,13483
13501,Haldia - Asansol Exp...,Exp,ER,,,HLZ,14:05,ASN,20:35,6h 30m,17,,M,T,W,T,F,S,,323 km,49 km/hr,13502
13502,Asansol - Haldia Exp...,Exp,ER,,,ASN,05:40,HLZ,12:15,6h 35m,17,,M,T,W,T,F,S,,323 km,49 km/hr,13501
13505,Digha - Asansol Expr...,Exp,ER,,,DGHA,14:30,ASN,22:20,7h 50m,11,S,,,,,,,,372 km,47 km/hr,13506
13506,Asansol - Digha Expr...,Exp,ER,,,ASN,05:40,DGHA,13:40,8h 0m,11,S,,,,,,,,372 km,46 km/hr,13505
13507,Asansol-Gorakhpur Ex...,Exp,ER,,,ASN,16:15,GKP,05:50,13h 35m,13,,,,,,F,,SL 3A,643 km,47 km/hr,13508
13508,Gorakhpur-Asansol Ex...,Exp,ER,,,GKP,20:55,ASN,11:15,14h 20m,13,,,,,,,S,SL 3A,643 km,44 km/hr,13507
